ST_length	        length	            misc,raw,lengthdep
DN_mean	            mean	            distribution,location,raw,locdep
DN_hmean	        harmonic_mean	    distribution,location,raw,locdep
DN_median			median	            distribution,location,raw,locdep
DN_TrimmedMean_1	trimmed_mean_1	    distribution,location,raw,locdep
DN_TrimmedMean_5	trimmed_mean_5	    distribution,location,raw,locdep
DN_TrimmedMean_10	trimmed_mean_10	    distribution,location,raw,locdep
DN_TrimmedMean_25	trimmed_mean_25	    distribution,location,raw,locdep
DN_TrimmedMean_50	trimmed_mean_50	    distribution,location,raw,locdep
DN_midhinge			midhinge	        distribution,location,raw,locdep
DN_HistogramMode_5	DN_HistogramMode_5	distribution,location
DN_HistogramMode_10	DN_HistogramMode_10	distribution,location
DN_HistogramMode_20	DN_HistogramMode_20	distribution,location
DN_max	            maximum	            distribution
DN_min	            miminmum	        distribution
DN_rms	            rms	                distribution,location,raw,locdep,spreaddep
DN_burstiness	    burstiness	        distribution,raw,locdep
DN_Spread_std	    standard_deviation	        distribution,spread,raw,spreaddep
DN_Spread_mad	    mean_absolute_deviation	    distribution,spread,raw,spreaddep
DN_Spread_iqr	    interquartile_range	        distribution,spread,raw,spreaddep
DN_Spread_mead	    median_absolute_deviation	distribution,spread,raw,spreaddep
DN_Moments_3	    DN_Moments_3	    distribution,moment,shape
DN_Moments_4	    DN_Moments_4	    distribution,moment,shape
DN_Moments_5	    DN_Moments_5	    distribution,moment,shape
DN_Moments_6	    DN_Moments_6	    distribution,moment,shape
DN_Moments_7	    DN_Moments_7	    distribution,moment,shape
DN_Moments_8	    DN_Moments_8	    distribution,moment,shape
DN_Moments_9	    DN_Moments_9	    distribution,moment,shape
DN_Moments_10	    DN_Moments_10	    distribution,moment,shape
DN_Moments_11	    DN_Moments_11	    distribution,moment,shape
DN_Moments_raw_3	DN_Moments_raw_3	distribution,moment,shape,raw,spreaddep
DN_Moments_raw_4	DN_Moments_raw_4	distribution,moment,shape,raw,spreaddep
DN_Moments_raw_5	DN_Moments_raw_5	distribution,moment,shape,raw,spreaddep
DN_Moments_raw_6	DN_Moments_raw_6	distribution,moment,shape,raw,spreaddep
DN_Moments_raw_7	DN_Moments_raw_7	distribution,moment,shape,raw,spreaddep
DN_Moments_raw_8	DN_Moments_raw_8	distribution,moment,shape,raw,spreaddep
DN_Moments_raw_9	DN_Moments_raw_9	distribution,moment,shape,raw,spreaddep
DN_Moments_raw_10	DN_Moments_raw_10	distribution,moment,shape,raw,spreaddep
DN_Moments_raw_11	DN_Moments_raw_11	distribution,moment,shape,raw,spreaddep
DN_CustomSkewness_pearson	skewness_pearson	distribution,moment,shape,raw,locdep
DN_CustomSkewness_bowley	skewness_bowley	    distribution,moment,shape
DN_cv_1	        coeff_var_1	    distribution,spread,cv,raw,locdep,spreaddep
DN_cv_2	        coeff_var_2	    distribution,spread,cv,raw,locdep,spreaddep
DN_Withinp_05	DN_Withinp_05	distribution,spread
DN_Withinp_10	DN_Withinp_10	distribution,spread
DN_Withinp_15	DN_Withinp_15	distribution,spread
DN_Withinp_20	DN_Withinp_20	distribution,spread
DN_Withinp_25	DN_Withinp_25	distribution,spread
DN_Withinp_30	DN_Withinp_30	distribution,spread
DN_pleft_005	DN_pleft005	distribution,spread
DN_pleft_01		DN_pleft01	distribution,spread
DN_pleft_02		DN_pleft02	distribution,spread
DN_pleft_03		DN_pleft03	distribution,spread
DN_pleft_04		DN_pleft04	distribution,spread
DN_pleft_05		DN_pleft05	distribution,spread
DN_Quantile_1	quantile_1	distribution
DN_Quantile_2	quantile_2	distribution
DN_Quantile_3	quantile_3	distribution
DN_Quantile_4	quantile_4	distribution
DN_Quantile_5	quantile_5	distribution
DN_Quantile_10	quantile_10	distribution
DN_Quantile_20	quantile_20	distribution
DN_Quantile_30	quantile_30	distribution
DN_Quantile_40	quantile_40	distribution
DN_Quantile_50	quantile_50	distribution
DN_Quantile_60	quantile_60	distribution
DN_Quantile_70	quantile_70	distribution
DN_Quantile_80	quantile_80	distribution
DN_Quantile_90	quantile_90	distribution
DN_Quantile_91	quantile_91	distribution
DN_Quantile_92	quantile_92	distribution
DN_Quantile_93	quantile_93	distribution
DN_Quantile_94	quantile_94	distribution
DN_Quantile_95	quantile_95	distribution
DN_Quantile_96	quantile_96	distribution
DN_Quantile_97	quantile_97	distribution
DN_Quantile_98	quantile_98	distribution
DN_Quantile_99	quantile_99	distribution
DN_HighLowMu	HighLowMu	distribution,raw,locdep,spreaddep
ST_SimpleStats_zcross	ST_SimpleStats_zcross	noisiness
ST_SimpleStats_pmcross	ST_SimpleStats_pmcross	distribution
DN_ProportionValues_zeros	DN_ProportionValues_zeros	distribution,raw
DN_ProportionValues_geq0	DN_ProportionValues_geq0	distribution,raw,locdep
DN_ProportionValues_positive	DN_ProportionValues_positive	distribution,raw,locdep
AC_1		AC_1		correlation,autocorrelation
AC_2		AC_2		correlation,autocorrelation
AC_3		AC_3		correlation,autocorrelation
AC_4		AC_4		correlation,autocorrelation
AC_5		AC_5		correlation,autocorrelation
AC_6		AC_6		correlation,autocorrelation
AC_7		AC_7		correlation,autocorrelation
AC_8		AC_8		correlation,autocorrelation
AC_9		AC_9		correlation,autocorrelation
AC_10		AC_10		correlation,autocorrelation
AC_11		AC_11		correlation,autocorrelation
AC_12		AC_12		correlation,autocorrelation
AC_13		AC_13		correlation,autocorrelation
AC_14		AC_14		correlation,autocorrelation
AC_15		AC_15		correlation,autocorrelation
AC_16		AC_16		correlation,autocorrelation
AC_17		AC_17		correlation,autocorrelation
AC_18		AC_18		correlation,autocorrelation
AC_19		AC_19		correlation,autocorrelation
AC_20		AC_20		correlation,autocorrelation
AC_21		AC_21		correlation,autocorrelation
AC_22		AC_22		correlation,autocorrelation
AC_23		AC_23		correlation,autocorrelation
AC_24		AC_24		correlation,autocorrelation
AC_25		AC_25		correlation,autocorrelation
AC_26		AC_26		correlation,autocorrelation
AC_27		AC_27		correlation,autocorrelation
